iter	Passed	Remaining
674	1755	845
675	1759	843
676	1760	840
677	1762	837
678	1763	833
679	1765	830
680	1766	827
681	1767	824
682	1769	821
683	1769	817
684	1770	814
685	1772	811
686	1773	807
687	1774	804
688	1775	801
689	1776	798
690	1777	795
691	1778	791
692	1779	788
693	1781	785
694	1785	783
695	1787	780
696	1789	777
697	1791	774
698	1795	773
699	1802	772
700	1804	769
701	1806	766
702	1807	763
703	1809	760
704	1810	757
705	1812	754
706	1813	751
707	1814	748
708	1815	745
709	1816	742
710	1818	739
711	1819	735
712	1820	732
713	1821	729
714	1823	726
715	1824	723
716	1825	720
717	1827	717
718	1830	715
719	1832	712
720	1836	710
721	1837	707
722	1839	704
723	1840	701
724	1843	699
725	1844	696
726	1845	693
727	1846	690
728	1847	686
729	1848	683
730	1850	680
731	1851	677
732	1852	674
733	1854	672
734	1856	669
735	1857	666
736	1858	663
737	1862	661
738	1864	658
739	1865	655
740	1866	652
741	1868	649
742	1870	646
743	1871	643
744	1872	640
745	1873	638
746	1876	635
747	1879	633
748	1882	630
749	1883	627
750	1885	625
751	1889	623
752	1890	620
753	1891	617
754	1892	614
755	1894	611
756	1895	608
757	1896	605
758	1898	602
759	1899	599
760	1901	597
761	1903	594
762	1912	594
763	1914	591
764	1915	588
765	1917	585
766	1918	582
767	1919	579
768	1921	577
769	1922	574
770	1923	571
771	1925	568
772	1926	565
773	1927	562
774	1929	560
775	1941	560
776	1944	558
777	1945	555
778	1946	552
779	1947	549
780	1948	546
781	1950	543
782	1951	540
783	1953	538
784	1954	535
785	1955	532
786	1956	529
787	1957	526
788	1958	523
789	1959	520
790	1960	518
791	1961	515
792	1962	512
793	1963	509
794	1964	506
795	1966	503
796	1968	501
797	1972	499
798	1975	497
799	1977	494
800	1981	492
801	1983	489
802	1984	486
803	1986	484
804	1988	481
805	1989	478
806	1991	476
807	1992	473
808	1993	470
809	1995	467
810	1996	465
811	1997	462
812	1998	459
813	1999	456
814	2000	454
815	2001	451
816	2002	448
817	2004	445
818	2007	443
819	2012	441
820	2014	439
821	2018	437
822	2019	434
823	2021	431
824	2022	429
825	2025	426
826	2026	423
827	2027	421
828	2028	418
829	2030	415
830	2031	413
831	2032	410
832	2033	407
833	2035	405
834	2036	402
835	2037	399
836	2038	397
837	2039	394
838	2041	391
839	2042	389
840	2043	386
841	2046	384
842	2049	381
843	2050	379
844	2052	376
845	2054	373
846	2055	371
847	2057	368
848	2058	366
849	2060	363
850	2061	360
851	2062	358
852	2063	355
853	2064	353
854	2065	350
855	2066	347
856	2067	345
857	2068	342
858	2069	339
859	2070	337
860	2072	334
861	2073	332
862	2075	329
863	2077	327
864	2079	324
865	2080	321
866	2081	319
867	2082	316
868	2083	314
869	2084	311
870	2085	308
871	2087	306
872	2094	304
873	2095	302
874	2096	299
875	2097	296
876	2098	294
877	2099	291
878	2100	289
879	2101	286
880	2103	284
881	2104	281
882	2105	278
883	2107	276
884	2108	274
885	2109	271
886	2110	268
887	2111	266
888	2112	263
889	2114	261
890	2115	258
891	2116	256
892	2118	253
893	2129	252
894	2130	249
895	2131	247
896	2132	244
897	2133	242
898	2134	239
899	2135	237
900	2136	234
901	2137	232
902	2138	229
903	2139	227
904	2140	224
905	2141	222
906	2143	219
907	2144	217
908	2146	214
909	2147	212
910	2151	210
911	2152	207
912	2153	205
913	2154	202
914	2155	200
915	2157	197
916	2158	195
917	2159	192
918	2159	190
919	2160	187
920	2161	185
921	2162	182
922	2164	180
923	2167	178
924	2169	175
925	2170	173
926	2172	171
927	2173	168
928	2174	166
929	2175	163
930	2176	161
931	2178	158
932	2179	156
933	2180	154
934	2181	151
935	2182	149
936	2183	146
937	2184	144
938	2185	141
939	2186	139
940	2187	137
941	2188	134
942	2190	132
943	2191	130
944	2194	127
945	2196	125
946	2198	123
947	2198	120
948	2200	118
949	2201	115
950	2202	113
951	2203	111
952	2204	108
953	2205	106
954	2206	103
955	2207	101
956	2208	99
957	2208	96
958	2209	94
959	2210	92
960	2211	89
961	2211	87
962	2212	85
963	2213	82
964	2214	80
965	2214	77
966	2215	75
967	2216	73
968	2217	70
969	2218	68
970	2218	66
971	2219	63
972	2220	61
973	2221	59
974	2221	56
975	2222	54
976	2225	52
977	2227	50
978	2228	47
979	2230	45
980	2231	43
981	2233	40
982	2234	38
983	2235	36
984	2237	34
985	2238	31
986	2239	29
987	2240	27
988	2240	24
989	2241	22
990	2242	20
991	2243	18
992	2244	15
993	2245	13
994	2245	11
995	2246	9
996	2248	6
997	2249	4
998	2249	2
999	2250	0
